project,month,prediction,target,train_strategy,model_arch
geonetwork,9,0.8656129878749635,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,10,0.8660597222496372,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,11,0.8661122672416006,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,12,0.866821588200843,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,13,0.8666743021958897,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,14,0.8675447480483178,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,15,0.8670279279595023,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,16,0.8668302262208741,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,17,0.8669617601174788,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,18,0.8670427215055939,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,19,0.8669457055239149,graduated,Oc^ --> Oc^^,DLSTM
geonetwork,20,0.7925949272697308,graduated,Oc^ --> Oc^^,DLSTM
geonode,1,0.7881516549601273,graduated,Oc^ --> Oc^^,DLSTM
geonode,2,0.862876628804791,graduated,Oc^ --> Oc^^,DLSTM
geonode,3,0.863132966990633,graduated,Oc^ --> Oc^^,DLSTM
geonode,4,0.8624256899498614,graduated,Oc^ --> Oc^^,DLSTM
geonode,5,0.8618032142056554,graduated,Oc^ --> Oc^^,DLSTM
geonode,6,0.8618168200959956,graduated,Oc^ --> Oc^^,DLSTM
geonode,7,0.8619653714987128,graduated,Oc^ --> Oc^^,DLSTM
geonode,8,0.8617982455966897,graduated,Oc^ --> Oc^^,DLSTM
geonode,9,0.862103011437607,graduated,Oc^ --> Oc^^,DLSTM
geonode,10,0.862529450738572,graduated,Oc^ --> Oc^^,DLSTM
geonode,11,0.8633872579373925,graduated,Oc^ --> Oc^^,DLSTM
geonode,12,0.863141007424272,graduated,Oc^ --> Oc^^,DLSTM
geonode,13,0.8627115558122852,graduated,Oc^ --> Oc^^,DLSTM
geonode,14,0.8627200568178326,graduated,Oc^ --> Oc^^,DLSTM
geonode,15,0.8627121325707027,graduated,Oc^ --> Oc^^,DLSTM
geonode,16,0.8627934159794259,graduated,Oc^ --> Oc^^,DLSTM
geonode,17,0.8628943837559166,graduated,Oc^ --> Oc^^,DLSTM
geonode,18,0.7886388592459137,graduated,Oc^ --> Oc^^,DLSTM
geopaparazzi,1,0.7890092970413397,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,2,0.8641153951743276,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,3,0.8641764169270698,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,4,0.864793832550789,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,5,0.8642513924549446,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,6,0.8642408439797691,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,7,0.8647260176364118,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,8,0.8644731653943687,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,9,0.8641539343290884,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,10,0.8647094777926033,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,11,0.86510422249959,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,12,0.8654982736431137,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,13,0.8655640639699971,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,14,0.8658361815606536,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,15,0.8661435880615472,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,16,0.8661555155628522,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,17,0.8660693357769935,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,18,0.866340562993208,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,19,0.8666324501733015,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,20,0.8665976089579368,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,21,0.8656591248459917,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,22,0.8664875453074712,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,23,0.8665740964503081,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,24,0.8663354837751497,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,25,0.865934049115231,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,26,0.8633448973394011,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,27,0.8563955601971054,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,28,0.848931378758659,retired,Oc^ --> Oc^^,DLSTM
geopaparazzi,29,0.8600597854704024,retired,Oc^ --> Oc^^,DLSTM
