project,month,prediction,target,train_strategy,model_arch
apisix,6,0.9893469765413762,graduated,Ac^ --> Ac^^,BLSTM
apisix,7,0.9893143761006566,graduated,Ac^ --> Ac^^,BLSTM
apisix,8,0.9892292755183957,graduated,Ac^ --> Ac^^,BLSTM
apisix,9,0.9040881517546453,graduated,Ac^ --> Ac^^,BLSTM
ariatosca,1,0.9023747123050662,retired,Ac^ --> Ac^^,BLSTM
ariatosca,2,0.9886984750339953,retired,Ac^ --> Ac^^,BLSTM
ariatosca,3,0.9890719817525575,retired,Ac^ --> Ac^^,BLSTM
ariatosca,4,0.9891251595006917,retired,Ac^ --> Ac^^,BLSTM
ariatosca,5,0.9891684978835832,retired,Ac^ --> Ac^^,BLSTM
ariatosca,6,0.9892137002515978,retired,Ac^ --> Ac^^,BLSTM
ariatosca,7,0.9891434375852656,retired,Ac^ --> Ac^^,BLSTM
ariatosca,8,0.9891256177065825,retired,Ac^ --> Ac^^,BLSTM
ariatosca,9,0.9891738048117884,retired,Ac^ --> Ac^^,BLSTM
ariatosca,10,0.9891683925844031,retired,Ac^ --> Ac^^,BLSTM
ariatosca,11,0.9890828857885421,retired,Ac^ --> Ac^^,BLSTM
ariatosca,12,0.9891258851722019,retired,Ac^ --> Ac^^,BLSTM
ariatosca,13,0.9891518528026714,retired,Ac^ --> Ac^^,BLSTM
ariatosca,14,0.9891552177526303,retired,Ac^ --> Ac^^,BLSTM
ariatosca,15,0.9891099743229869,retired,Ac^ --> Ac^^,BLSTM
ariatosca,16,0.9890085977148416,retired,Ac^ --> Ac^^,BLSTM
ariatosca,17,0.9889410884707216,retired,Ac^ --> Ac^^,BLSTM
ariatosca,18,0.9889049779037854,retired,Ac^ --> Ac^^,BLSTM
ariatosca,19,0.9871519790425102,retired,Ac^ --> Ac^^,BLSTM
ariatosca,20,0.8887496674345836,retired,Ac^ --> Ac^^,BLSTM
ariatosca,21,0.09116555179353554,retired,Ac^ --> Ac^^,BLSTM
ariatosca,22,0.005538124081347394,retired,Ac^ --> Ac^^,BLSTM
aries,1,0.8826178638305404,graduated,Ac^ --> Ac^^,BLSTM
aries,2,0.9853701337072409,graduated,Ac^ --> Ac^^,BLSTM
aries,3,0.9879411079250879,graduated,Ac^ --> Ac^^,BLSTM
aries,4,0.9886118118360595,graduated,Ac^ --> Ac^^,BLSTM
aries,5,0.9889158861492089,graduated,Ac^ --> Ac^^,BLSTM
aries,6,0.9889851588300831,graduated,Ac^ --> Ac^^,BLSTM
aries,7,0.9890480051855197,graduated,Ac^ --> Ac^^,BLSTM
aries,8,0.989022079672381,graduated,Ac^ --> Ac^^,BLSTM
aries,9,0.9890677412084943,graduated,Ac^ --> Ac^^,BLSTM
aries,10,0.9890888531463571,graduated,Ac^ --> Ac^^,BLSTM
aries,11,0.9891001563159278,graduated,Ac^ --> Ac^^,BLSTM
aries,12,0.9891212443995901,graduated,Ac^ --> Ac^^,BLSTM
aries,13,0.9891213372960546,graduated,Ac^ --> Ac^^,BLSTM
aries,14,0.989046409834488,graduated,Ac^ --> Ac^^,BLSTM
aries,15,0.9039330657740019,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,1,0.9043954553338297,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,2,0.9896648311867615,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,3,0.9896719569627848,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,4,0.9896133218719523,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,5,0.9895789485021431,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,6,0.9895519505028365,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,7,0.9895094158409209,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,8,0.9894808106577473,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,9,0.989460007797906,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,10,0.989428697170154,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,11,0.9894131637066086,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,12,0.9893095513885624,graduated,Ac^ --> Ac^^,BLSTM
asterixdb,13,0.9041516580064021,graduated,Ac^ --> Ac^^,BLSTM
atlas,1,0.9043033655609568,graduated,Ac^ --> Ac^^,BLSTM
atlas,2,0.9895785874882254,graduated,Ac^ --> Ac^^,BLSTM
atlas,3,0.9895531879946541,graduated,Ac^ --> Ac^^,BLSTM
atlas,4,0.9892382161458063,graduated,Ac^ --> Ac^^,BLSTM
atlas,5,0.9892918627997674,graduated,Ac^ --> Ac^^,BLSTM
atlas,6,0.9891712100017107,graduated,Ac^ --> Ac^^,BLSTM
atlas,7,0.9890946699025783,graduated,Ac^ --> Ac^^,BLSTM
atlas,8,0.9891425615768535,graduated,Ac^ --> Ac^^,BLSTM
atlas,9,0.9890167718086555,graduated,Ac^ --> Ac^^,BLSTM
atlas,10,0.9889767305701525,graduated,Ac^ --> Ac^^,BLSTM
atlas,11,0.9889708263522787,graduated,Ac^ --> Ac^^,BLSTM
atlas,12,0.9889924522689779,graduated,Ac^ --> Ac^^,BLSTM
atlas,13,0.9890127531223358,graduated,Ac^ --> Ac^^,BLSTM
atlas,14,0.989082308962822,graduated,Ac^ --> Ac^^,BLSTM
atlas,15,0.9891075487456311,graduated,Ac^ --> Ac^^,BLSTM
atlas,16,0.9891014272221309,graduated,Ac^ --> Ac^^,BLSTM
atlas,17,0.98901086118218,graduated,Ac^ --> Ac^^,BLSTM
atlas,18,0.989033555057665,graduated,Ac^ --> Ac^^,BLSTM
atlas,19,0.9890752153022697,graduated,Ac^ --> Ac^^,BLSTM
atlas,20,0.9891029795086529,graduated,Ac^ --> Ac^^,BLSTM
atlas,21,0.9891175814414864,graduated,Ac^ --> Ac^^,BLSTM
atlas,22,0.9891360677765828,graduated,Ac^ --> Ac^^,BLSTM
atlas,23,0.9891413228977334,graduated,Ac^ --> Ac^^,BLSTM
atlas,24,0.988993867795685,graduated,Ac^ --> Ac^^,BLSTM
