project,prediction,target,train_strategy,model_arch
metamodel,graduated,graduated,Ac^ --> Ac^^,BLSTM
metron,graduated,graduated,Ac^ --> Ac^^,BLSTM
mnemonic,graduated,graduated,Ac^ --> Ac^^,BLSTM
mod_ftp,graduated,graduated,Ac^ --> Ac^^,BLSTM
mrql,retired,retired,Ac^ --> Ac^^,BLSTM
mrunit,graduated,graduated,Ac^ --> Ac^^,BLSTM
muse,graduated,graduated,Ac^ --> Ac^^,BLSTM
myfaces,graduated,graduated,Ac^ --> Ac^^,BLSTM
mynewt,graduated,graduated,Ac^ --> Ac^^,BLSTM
myriad,retired,retired,Ac^ --> Ac^^,BLSTM
netbeans,graduated,graduated,Ac^ --> Ac^^,BLSTM
nifi,graduated,graduated,Ac^ --> Ac^^,BLSTM
nmaven,graduated,retired,Ac^ --> Ac^^,BLSTM
npanday,retired,retired,Ac^ --> Ac^^,BLSTM
nutch,graduated,graduated,Ac^ --> Ac^^,BLSTM
nuvem,retired,graduated,Ac^ --> Ac^^,BLSTM
ode,graduated,graduated,Ac^ --> Ac^^,BLSTM
odf,retired,retired,Ac^ --> Ac^^,BLSTM
ofbiz,graduated,graduated,Ac^ --> Ac^^,BLSTM
olingo,graduated,graduated,Ac^ --> Ac^^,BLSTM
olio,retired,retired,Ac^ --> Ac^^,BLSTM
oltu,graduated,graduated,Ac^ --> Ac^^,BLSTM
omid,retired,graduated,Ac^ --> Ac^^,BLSTM
onami,graduated,graduated,Ac^ --> Ac^^,BLSTM
oodt,graduated,graduated,Ac^ --> Ac^^,BLSTM
oozie,graduated,graduated,Ac^ --> Ac^^,BLSTM
openaz,retired,retired,Ac^ --> Ac^^,BLSTM
openjpa,graduated,graduated,Ac^ --> Ac^^,BLSTM
openmeetings,graduated,graduated,Ac^ --> Ac^^,BLSTM
opennlp,graduated,graduated,Ac^ --> Ac^^,BLSTM
openoffice,graduated,graduated,Ac^ --> Ac^^,BLSTM
openwebbeans,graduated,graduated,Ac^ --> Ac^^,BLSTM
openwhisk,graduated,graduated,Ac^ --> Ac^^,BLSTM
parquet,graduated,graduated,Ac^ --> Ac^^,BLSTM
pdfbox,graduated,graduated,Ac^ --> Ac^^,BLSTM
phoenix,graduated,graduated,Ac^ --> Ac^^,BLSTM
photark,retired,retired,Ac^ --> Ac^^,BLSTM
pig,graduated,graduated,Ac^ --> Ac^^,BLSTM
pinot,graduated,graduated,Ac^ --> Ac^^,BLSTM
pirk,retired,retired,Ac^ --> Ac^^,BLSTM
pivot,graduated,graduated,Ac^ --> Ac^^,BLSTM
plc4x,graduated,graduated,Ac^ --> Ac^^,BLSTM
predictionio,graduated,graduated,Ac^ --> Ac^^,BLSTM
provisionr,retired,retired,Ac^ --> Ac^^,BLSTM
pubscribe,graduated,graduated,Ac^ --> Ac^^,BLSTM
pulsar,graduated,graduated,Ac^ --> Ac^^,BLSTM
qpid,graduated,graduated,Ac^ --> Ac^^,BLSTM
quickstep,retired,retired,Ac^ --> Ac^^,BLSTM
ranger,graduated,graduated,Ac^ --> Ac^^,BLSTM
ratis,graduated,graduated,Ac^ --> Ac^^,BLSTM
rave,graduated,graduated,Ac^ --> Ac^^,BLSTM
reef,graduated,graduated,Ac^ --> Ac^^,BLSTM
ripple,retired,retired,Ac^ --> Ac^^,BLSTM
river,graduated,graduated,Ac^ --> Ac^^,BLSTM
rocketmq,graduated,graduated,Ac^ --> Ac^^,BLSTM
roller,graduated,graduated,Ac^ --> Ac^^,BLSTM
rya,graduated,graduated,Ac^ --> Ac^^,BLSTM
s2graph,retired,retired,Ac^ --> Ac^^,BLSTM
s4,retired,retired,Ac^ --> Ac^^,BLSTM
samoa,retired,retired,Ac^ --> Ac^^,BLSTM
samza,graduated,graduated,Ac^ --> Ac^^,BLSTM
sanselan,retired,graduated,Ac^ --> Ac^^,BLSTM
sentry,graduated,graduated,Ac^ --> Ac^^,BLSTM
servicecomb,graduated,graduated,Ac^ --> Ac^^,BLSTM
servicemix,graduated,graduated,Ac^ --> Ac^^,BLSTM
shardingsphere,graduated,graduated,Ac^ --> Ac^^,BLSTM
shindig,graduated,graduated,Ac^ --> Ac^^,BLSTM
shiro,graduated,graduated,Ac^ --> Ac^^,BLSTM
singa,graduated,graduated,Ac^ --> Ac^^,BLSTM
sirona,retired,retired,Ac^ --> Ac^^,BLSTM
sis,graduated,graduated,Ac^ --> Ac^^,BLSTM
skywalking,graduated,graduated,Ac^ --> Ac^^,BLSTM
slider,retired,retired,Ac^ --> Ac^^,BLSTM
sling,graduated,graduated,Ac^ --> Ac^^,BLSTM
solr,graduated,graduated,Ac^ --> Ac^^,BLSTM
spark,graduated,graduated,Ac^ --> Ac^^,BLSTM
sqoop,graduated,graduated,Ac^ --> Ac^^,BLSTM
stanbol,graduated,graduated,Ac^ --> Ac^^,BLSTM
stdcxx,graduated,graduated,Ac^ --> Ac^^,BLSTM
stonehenge,retired,retired,Ac^ --> Ac^^,BLSTM
storm,graduated,graduated,Ac^ --> Ac^^,BLSTM
stratos,graduated,graduated,Ac^ --> Ac^^,BLSTM
streams,graduated,graduated,Ac^ --> Ac^^,BLSTM
struts,graduated,graduated,Ac^ --> Ac^^,BLSTM
subversion,graduated,graduated,Ac^ --> Ac^^,BLSTM
superset,graduated,graduated,Ac^ --> Ac^^,BLSTM
synapse,graduated,graduated,Ac^ --> Ac^^,BLSTM
syncope,graduated,graduated,Ac^ --> Ac^^,BLSTM
systemml,graduated,graduated,Ac^ --> Ac^^,BLSTM
tajo,graduated,graduated,Ac^ --> Ac^^,BLSTM
tamaya,retired,retired,Ac^ --> Ac^^,BLSTM
tashi,retired,retired,Ac^ --> Ac^^,BLSTM
taverna,retired,retired,Ac^ --> Ac^^,BLSTM
tephra,retired,graduated,Ac^ --> Ac^^,BLSTM
tez,graduated,graduated,Ac^ --> Ac^^,BLSTM
thrift,graduated,graduated,Ac^ --> Ac^^,BLSTM
tika,graduated,graduated,Ac^ --> Ac^^,BLSTM
tinkerpop,graduated,graduated,Ac^ --> Ac^^,BLSTM
trafficcontrol,graduated,graduated,Ac^ --> Ac^^,BLSTM
trafficserver,graduated,graduated,Ac^ --> Ac^^,BLSTM
trafodion,graduated,graduated,Ac^ --> Ac^^,BLSTM
triplesoup,retired,retired,Ac^ --> Ac^^,BLSTM
tuscany,graduated,graduated,Ac^ --> Ac^^,BLSTM
tvm,graduated,graduated,Ac^ --> Ac^^,BLSTM
twill,graduated,graduated,Ac^ --> Ac^^,BLSTM
uima,graduated,graduated,Ac^ --> Ac^^,BLSTM
unomi,graduated,graduated,Ac^ --> Ac^^,BLSTM
usergrid,graduated,graduated,Ac^ --> Ac^^,BLSTM
vcl,graduated,graduated,Ac^ --> Ac^^,BLSTM
vxquery,graduated,graduated,Ac^ --> Ac^^,BLSTM
wadi,retired,retired,Ac^ --> Ac^^,BLSTM
warble,retired,retired,Ac^ --> Ac^^,BLSTM
wave,retired,retired,Ac^ --> Ac^^,BLSTM
weex,retired,retired,Ac^ --> Ac^^,BLSTM
whirr,graduated,graduated,Ac^ --> Ac^^,BLSTM
wicket,graduated,graduated,Ac^ --> Ac^^,BLSTM
wink,graduated,graduated,Ac^ --> Ac^^,BLSTM
wookie,graduated,graduated,Ac^ --> Ac^^,BLSTM
xap,retired,retired,Ac^ --> Ac^^,BLSTM
yoko,retired,retired,Ac^ --> Ac^^,BLSTM
zeppelin,graduated,graduated,Ac^ --> Ac^^,BLSTM
zeta,retired,retired,Ac^ --> Ac^^,BLSTM
zipkin,graduated,retired,Ac^ --> Ac^^,BLSTM
